front,back,deck,tags,source_language,target_language
"die Ansage, -n",announcement,Goethe A1,goethe-a1;source-patsytau;formal,de,en
der Anschluss,connection,Goethe A1,goethe-a1;source-patsytau;formal,de,en
an sein,to be (switched) on,Goethe A1,goethe-a1;source-patsytau,de,en
antworten,to answer,Goethe A1,goethe-a1;source-patsytau,de,en
"die Antwort, -en",answer,Goethe A1,goethe-a1;source-patsytau,de,en
"die Anzeige, -n",advert,Goethe A1,goethe-a1;source-patsytau,de,en
(sich) anziehen,to get dressed,Goethe A1,goethe-a1;source-patsytau,de,en
"das Apartment, -s",apartment,Goethe A1,goethe-a1;source-patsytau,de,en
"der Apfel, -Ä",apple,Goethe A1,goethe-a1;source-patsytau,de,en
der Appetit,…,Goethe A1,goethe-a1;source-patsytau,de,en
arbeiten,to work,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"die Arbeit, -en",work,Goethe A1,goethe-a1;source-patsytau,de,en
arbeitslos,unemployed,Goethe A1,goethe-a1;source-patsytau,de,en
"der Arbeitsplatz, -ä, e",workplace,Goethe A1,goethe-a1;source-patsytau,de,en
"der Arm, -e",arm,Goethe A1,goethe-a1;source-patsytau,de,en
"der Arzt, -Ä, e",doctor,Goethe A1,goethe-a1;source-patsytau,de,en
auch,also,Goethe A1,goethe-a1;source-patsytau,de,en
auf,on,Goethe A1,goethe-a1;source-patsytau,de,en
auf,until,Goethe A1,goethe-a1;source-patsytau;lit. “until we see each other again”,de,en
auf,in,Goethe A1,goethe-a1;source-patsytau,de,en
"die Aufgabe, -n",task,Goethe A1,goethe-a1;source-patsytau,de,en
aufhören,to end,Goethe A1,goethe-a1;source-patsytau,de,en
auf sein,to be open,Goethe A1,goethe-a1;source-patsytau;informal,de,en
aufstehen,to get up,Goethe A1,goethe-a1;source-patsytau,de,en
"der Aufzug, -ü, e",lift,Goethe A1,goethe-a1;source-patsytau,de,en
"das Auge, -n",eye,Goethe A1,goethe-a1;source-patsytau,de,en
aus,from,Goethe A1,goethe-a1;source-patsytau,de,en
der Ausflug,excursion,Goethe A1,goethe-a1;source-patsytau,de,en
ausfüllen,to fill out,Goethe A1,goethe-a1;source-patsytau;formal,de,en
der Ausgang,exit,Goethe A1,goethe-a1;source-patsytau,de,en
"die Auskunft, -ü, e",information/details,Goethe A1,goethe-a1;source-patsytau;formal,de,en
das Ausland,abroad/overseas,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"der Ausländer, -",foreigner,Goethe A1,"goethe-a1;source-patsytau;A little offensive, formal",de,en
ausländisch,foreign,Goethe A1,goethe-a1;source-patsytau,de,en
ausmachen,to switch off,Goethe A1,goethe-a1;source-patsytau,de,en
"die Aussage, -n",statement,Goethe A1,goethe-a1;source-patsytau,de,en
aussehen,to look,Goethe A1,goethe-a1;source-patsytau,de,en
aus sein,to be (switched) off,Goethe A1,goethe-a1;source-patsytau,de,en
aus sein,to be out,Goethe A1,goethe-a1;source-patsytau,de,en
aussteigen,to alight,Goethe A1,goethe-a1;source-patsytau,de,en
der Ausweis,identity card,Goethe A1,goethe-a1;source-patsytau,de,en
ausziehen,to take off,Goethe A1,goethe-a1;source-patsytau,de,en
sich ausziehen,to get undressed,Goethe A1,goethe-a1;source-patsytau,de,en
"das Auto, -s",car,Goethe A1,goethe-a1;source-patsytau,de,en
"die Autobahn, -en",motorway,Goethe A1,goethe-a1;source-patsytau,de,en
der Automat,machine,Goethe A1,goethe-a1;source-patsytau,de,en
automatisch,automatic,Goethe A1,goethe-a1;source-patsytau;informal,de,en
"das Baby, -s",baby,Goethe A1,goethe-a1;source-patsytau,de,en
die Bäckerei,bakery,Goethe A1,goethe-a1;source-patsytau,de,en
das Bad,bathroom,Goethe A1,goethe-a1;source-patsytau,de,en
baden,to bathe,Goethe A1,goethe-a1;source-patsytau,de,en
die Bahn,train,Goethe A1,goethe-a1;source-patsytau,de,en
der Bahnhof,train station,Goethe A1,goethe-a1;source-patsytau,de,en
der Bahnsteig,platform,Goethe A1,goethe-a1;source-patsytau,de,en
bald,soon,Goethe A1,goethe-a1;source-patsytau,de,en
der Balkon,balcony,Goethe A1,goethe-a1;source-patsytau,de,en
"die Banane, -n",banana,Goethe A1,goethe-a1;source-patsytau,de,en
die Bank,bank,Goethe A1,goethe-a1;source-patsytau,de,en
die Bank,bench,Goethe A1,goethe-a1;source-patsytau,de,en
bar,cash,Goethe A1,goethe-a1;source-patsytau,de,en
der Bauch,stomach,Goethe A1,goethe-a1;source-patsytau,de,en
"der Baum, -ä, e",tree,Goethe A1,goethe-a1;source-patsytau,de,en
"der Beamte, -n",official,Goethe A1,goethe-a1;source-patsytau;formal,de,en
bedeuten,to mean,Goethe A1,goethe-a1;source-patsytau,de,en
beginnen,to begin,Goethe A1,goethe-a1;source-patsytau,de,en
bei,next to,Goethe A1,goethe-a1;source-patsytau,de,en
bei,at,Goethe A1,goethe-a1;source-patsytau,de,en
bei uns,here / where we are,Goethe A1,goethe-a1;source-patsytau;bei uns = set phrase,de,en
bei,for,Goethe A1,goethe-a1;source-patsytau,de,en
beide,both,Goethe A1,goethe-a1;source-patsytau,de,en
"das Bein, -e",leg,Goethe A1,goethe-a1;source-patsytau,de,en
"das Beispiel, -e",example,Goethe A1,goethe-a1;source-patsytau;informal,de,en
zum Beispiel/z. B.,for example,Goethe A1,goethe-a1;source-patsytau,de,en
bekannt,well known,Goethe A1,goethe-a1;source-patsytau,de,en
"der/die Bekannte, -n",acquaintance,Goethe A1,goethe-a1;source-patsytau,de,en
bekommen,to receive,Goethe A1,goethe-a1;source-patsytau;formal,de,en
bekommen,to have,Goethe A1,"goethe-a1;source-patsytau;for food and drink, formal",de,en
bekommen,to get,Goethe A1,goethe-a1;source-patsytau;formal,de,en
benutzen,to use,Goethe A1,goethe-a1;source-patsytau,de,en
"der Beruf, -e",profession,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"der Beruf, -e",occupation,Goethe A1,goethe-a1;source-patsytau,de,en
besetzt,busy,Goethe A1,goethe-a1;source-patsytau,de,en
besetzt,taken,Goethe A1,goethe-a1;source-patsytau,de,en
besichtigen,to visit,Goethe A1,goethe-a1;source-patsytau,de,en
besser,better,Goethe A1,goethe-a1;source-patsytau,de,en
best-,best,Goethe A1,goethe-a1;source-patsytau,de,en
bestellen,to order,Goethe A1,goethe-a1;source-patsytau,de,en
besuchen,to visit,Goethe A1,goethe-a1;source-patsytau;informal,de,en
"das Bett, -en",bed,Goethe A1,goethe-a1;source-patsytau,de,en
bezahlen,to pay,Goethe A1,goethe-a1;source-patsytau,de,en
das Bier,beer,Goethe A1,goethe-a1;source-patsytau,de,en
"das Bild, -er",picture,Goethe A1,goethe-a1;source-patsytau;informal,de,en
billig,cheap,Goethe A1,goethe-a1;source-patsytau,de,en
"die Birne, -n",pear,Goethe A1,goethe-a1;source-patsytau,de,en
bis,to (as far as),Goethe A1,goethe-a1;source-patsytau,de,en
bis,until,Goethe A1,goethe-a1;source-patsytau,de,en
bisschen,(a) little,Goethe A1,goethe-a1;source-patsytau,de,en
bitte,please,Goethe A1,goethe-a1;source-patsytau,de,en
"die Bitte, -n",request,Goethe A1,goethe-a1;source-patsytau,de,en
bitten,to ask,Goethe A1,goethe-a1;source-patsytau;formal,de,en
bitter,bitter,Goethe A1,goethe-a1;source-patsytau,de,en
bleiben,to stay,Goethe A1,goethe-a1;source-patsytau,de,en
"der Bleistift, -e",pencil,Goethe A1,goethe-a1;source-patsytau;informal,de,en
der Blick,view,Goethe A1,goethe-a1;source-patsytau,de,en
"die Blume, -n",flower,Goethe A1,goethe-a1;source-patsytau;informal,de,en
der Bogen,sheet,Goethe A1,goethe-a1;source-patsytau;formal,de,en
böse,angry,Goethe A1,goethe-a1;source-patsytau;formal,de,en
brauchen,to need,Goethe A1,goethe-a1;source-patsytau;informal,de,en
breit,wide,Goethe A1,goethe-a1;source-patsytau,de,en
"der Brief, -e",letter,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"die Briefmarke, -n",(postage) stamp,Goethe A1,goethe-a1;source-patsytau;informal,de,en
bringen,to bring,Goethe A1,goethe-a1;source-patsytau;formal,de,en
bringen,to take,Goethe A1,goethe-a1;source-patsytau,de,en
"das Brot, -e",bread,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"das Brot, -e",bread roll,Goethe A1,goethe-a1;source-patsytau,de,en
"das Brötchen, –",bread roll,Goethe A1,goethe-a1;source-patsytau;informal,de,en
"der Bruder, -ü",brother,Goethe A1,goethe-a1;source-patsytau,de,en
"das Buch, -ü, er",book,Goethe A1,goethe-a1;source-patsytau,de,en
"das Wörterbuch, -ü, er",dictionary,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"der Buchstabe, -n",letter (character),Goethe A1,goethe-a1;source-patsytau,de,en
buchstabieren,to spell,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"der Bus, -se",bus,Goethe A1,goethe-a1;source-patsytau,de,en
die Butter,butter,Goethe A1,goethe-a1;source-patsytau,de,en
"das Café, -s",cafe,Goethe A1,goethe-a1;source-patsytau,de,en
"die CD, -s",CD,Goethe A1,goethe-a1;source-patsytau,de,en
der Chef,boss,Goethe A1,goethe-a1;source-patsytau,de,en
circa/ca.,approximately,Goethe A1,goethe-a1;source-patsytau,de,en
"der Computer, –",computer,Goethe A1,goethe-a1;source-patsytau;informal,de,en
da,there,Goethe A1,goethe-a1;source-patsytau,de,en
da,here,Goethe A1,goethe-a1;source-patsytau,de,en
"die Dame, -n",lady,Goethe A1,goethe-a1;source-patsytau,de,en
daneben,next to it,Goethe A1,goethe-a1;source-patsytau;informal,de,en
danken,to thank,Goethe A1,goethe-a1;source-patsytau;formal,de,en
der Dank,thanks,Goethe A1,goethe-a1;source-patsytau,de,en
danke,thank you,Goethe A1,goethe-a1;source-patsytau;formal,de,en
dann,then (afterwards),Goethe A1,goethe-a1;source-patsytau,de,en
das Datum,date,Goethe A1,goethe-a1;source-patsytau;formal,de,en
dauern,to take (duration),Goethe A1,goethe-a1;source-patsytau,de,en
dein-,your,Goethe A1,goethe-a1;source-patsytau,de,en
dein-,yours,Goethe A1,goethe-a1;source-patsytau,de,en
denn,because,Goethe A1,goethe-a1;source-patsytau,de,en
das,that,Goethe A1,goethe-a1;source-patsytau,de,en
das,the,Goethe A1,goethe-a1;source-patsytau;NB: neuter,de,en
der,the,Goethe A1,"goethe-a1;source-patsytau;NB: masculine, informal",de,en
die,the,Goethe A1,"goethe-a1;source-patsytau;NB: feminine, informal",de,en
dich,you,Goethe A1,goethe-a1;source-patsytau;informal,de,en
dies-,this,Goethe A1,goethe-a1;source-patsytau,de,en
dir,you,Goethe A1,goethe-a1;source-patsytau;informal,de,en
die Disco,disco,Goethe A1,goethe-a1;source-patsytau,de,en
der Doktor,doctor,Goethe A1,goethe-a1;source-patsytau,de,en
das Doppelzimmer,double room,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"das Dorf, -ö, er",village,Goethe A1,goethe-a1;source-patsytau,de,en
dort,there,Goethe A1,goethe-a1;source-patsytau,de,en
dorthin,"there (to that place, in that direction)",Goethe A1,goethe-a1;source-patsytau;formal,de,en
dorther,from there,Goethe A1,goethe-a1;source-patsytau,de,en
draußen,outside,Goethe A1,goethe-a1;source-patsytau;lit. “do we want to…”,de,en
drucken,to print,Goethe A1,goethe-a1;source-patsytau,de,en
"der Drucker, –",printer,Goethe A1,goethe-a1;source-patsytau,de,en
drücken,to press,Goethe A1,goethe-a1;source-patsytau,de,en
durch,through,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"die Durchsage, -n",announcement,Goethe A1,goethe-a1;source-patsytau,de,en
dürfen,to be allowed,Goethe A1,goethe-a1;source-patsytau;formal,de,en
der Durst,thirst,Goethe A1,goethe-a1;source-patsytau;informal,de,en
(sich) duschen,to shower,Goethe A1,goethe-a1;source-patsytau,de,en
die Dusche,shower,Goethe A1,goethe-a1;source-patsytau,de,en
"die Ecke, -n",corner,Goethe A1,goethe-a1;source-patsytau,de,en
"die Ehefrau, -en",wife,Goethe A1,goethe-a1;source-patsytau,de,en
"der Ehemann, ä, er",husband,Goethe A1,goethe-a1;source-patsytau,de,en
"das Ei, -er",egg,Goethe A1,goethe-a1;source-patsytau;informal,de,en
eilig,…,Goethe A1,"goethe-a1;source-patsytau;es eilig haben = to be in a rush/hurry, informal",de,en
ein-,one / a,Goethe A1,goethe-a1;source-patsytau;informal,de,en
ein-,someone,Goethe A1,goethe-a1;source-patsytau;alt: “Ist hier jemand…”,de,en
einfach,simple,Goethe A1,goethe-a1;source-patsytau,de,en
einfach,a single (ticket),Goethe A1,goethe-a1;source-patsytau,de,en
der Eingang,entrance,Goethe A1,goethe-a1;source-patsytau,de,en
einkaufen,to go shopping,Goethe A1,goethe-a1;source-patsytau,de,en
einladen,to invite / treat,Goethe A1,goethe-a1;source-patsytau;formal,de,en
die Einladung,invitation,Goethe A1,goethe-a1;source-patsytau,de,en
noch einmal,again,Goethe A1,goethe-a1;source-patsytau,de,en
einmal,once,Goethe A1,goethe-a1;source-patsytau;formal,de,en
einsteigen,to get on (board),Goethe A1,goethe-a1;source-patsytau,de,en
der Eintritt,entry,Goethe A1,goethe-a1;source-patsytau,de,en
das Einzelzimmer,single room,Goethe A1,goethe-a1;source-patsytau;formal,de,en
die Eltern (pl.),parents,Goethe A1,goethe-a1;source-patsytau,de,en
"die E-Mail, -s",email,Goethe A1,goethe-a1;source-patsytau,de,en
"der Empfänger, –",recipient,Goethe A1,goethe-a1;source-patsytau;informal,de,en
empfehlen,to recommend,Goethe A1,goethe-a1;source-patsytau;formal,de,en
enden,to end,Goethe A1,goethe-a1;source-patsytau,de,en
das Ende,end,Goethe A1,goethe-a1;source-patsytau,de,en
entschuldigen,to excuse,Goethe A1,goethe-a1;source-patsytau;formal,de,en
die Entschuldigung,…,Goethe A1,goethe-a1;source-patsytau,de,en
er,he,Goethe A1,goethe-a1;source-patsytau,de,en
"das Ergebnis, -se",result,Goethe A1,goethe-a1;source-patsytau;formal,de,en
erklären,to explain,Goethe A1,goethe-a1;source-patsytau;informal,de,en
erlauben,allow,Goethe A1,goethe-a1;source-patsytau,de,en
"der Erwachsene, -n",adult,Goethe A1,goethe-a1;source-patsytau,de,en
erzählen,to tell,Goethe A1,goethe-a1;source-patsytau,de,en
es,it,Goethe A1,goethe-a1;source-patsytau,de,en
essen,to eat,Goethe A1,goethe-a1;source-patsytau,de,en
das Essen,food,Goethe A1,goethe-a1;source-patsytau,de,en
euer,your [pl.],Goethe A1,goethe-a1;source-patsytau,de,en
fahren,to travel,Goethe A1,goethe-a1;source-patsytau,de,en
der Fahrer,driver,Goethe A1,goethe-a1;source-patsytau,de,en
"die Fahrkarte, -n",(transport) ticket,Goethe A1,goethe-a1;source-patsytau;informal,de,en
"das Fahrrad, -ä, er",bicycle,Goethe A1,goethe-a1;source-patsytau;informal,de,en
falsch,wrong / incorrect,Goethe A1,goethe-a1;source-patsytau,de,en
"die Familie, -n",family,Goethe A1,goethe-a1;source-patsytau,de,en
der Familienname,surname,Goethe A1,goethe-a1;source-patsytau,de,en
der Familienstand,family/marital status,Goethe A1,goethe-a1;source-patsytau;informal,de,en
"die Farbe, -n",colour,Goethe A1,goethe-a1;source-patsytau,de,en
"das Fax, -e",fax,Goethe A1,goethe-a1;source-patsytau;formal,de,en
der Feierabend,end of work/home time,Goethe A1,goethe-a1;source-patsytau;… machen = set phrase for the end of work/home time,de,en
der Feiertag,bank holiday,Goethe A1,goethe-a1;source-patsytau,de,en
feiern,to celebrate,Goethe A1,goethe-a1;source-patsytau,de,en
fehlen,to be absent,Goethe A1,goethe-a1;source-patsytau,de,en
fehlen,to be missing,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"der Fehler, –",mistake,Goethe A1,goethe-a1;source-patsytau,de,en
fernsehen,to watch TV,Goethe A1,goethe-a1;source-patsytau;lit. “do we want to…”,de,en
fertig,finished / ready / done,Goethe A1,goethe-a1;source-patsytau;informal,de,en
das Feuer,fire / lighter,Goethe A1,goethe-a1;source-patsytau;formal,de,en
das Fieber,fever,Goethe A1,goethe-a1;source-patsytau,de,en
"der Film, -e",film,Goethe A1,goethe-a1;source-patsytau,de,en
finden,to find,Goethe A1,goethe-a1;source-patsytau,de,en
die Firma,company,Goethe A1,goethe-a1;source-patsytau,de,en
"der Fisch, -e",fish,Goethe A1,goethe-a1;source-patsytau,de,en
"die Flasche, -n",bottle,Goethe A1,goethe-a1;source-patsytau,de,en
das Fleisch,meat,Goethe A1,goethe-a1;source-patsytau,de,en
fliegen,to fly,Goethe A1,goethe-a1;source-patsytau,de,en
abfliegen,to depart (by air),Goethe A1,goethe-a1;source-patsytau;informal,de,en
der Abflug,(flight) departure,Goethe A1,goethe-a1;source-patsytau,de,en
der Flughafen,airport,Goethe A1,goethe-a1;source-patsytau;informal,de,en
das Flugzeug,aeroplane,Goethe A1,goethe-a1;source-patsytau,de,en
"das Formular, -e",form,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"das Foto, -s",photograph,Goethe A1,goethe-a1;source-patsytau,de,en
fragen,to ask,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"die Frage, -n",question,Goethe A1,goethe-a1;source-patsytau,de,en
die Frau,Ms,Goethe A1,goethe-a1;source-patsytau,de,en
die Frau,woman,Goethe A1,goethe-a1;source-patsytau,de,en
die Frauen,women,Goethe A1,goethe-a1;source-patsytau,de,en
frei,free,Goethe A1,goethe-a1;source-patsytau,de,en
die Freizeit,free time,Goethe A1,goethe-a1;source-patsytau,de,en
fremd,foreign,Goethe A1,goethe-a1;source-patsytau,de,en
(sich) freuen,to look forward,Goethe A1,goethe-a1;source-patsytau,de,en
"der Freund, -e",friend,Goethe A1,goethe-a1;source-patsytau,de,en
die Freundin,friend / girlfriend,Goethe A1,goethe-a1;source-patsytau;context differentiates between friend/girlfriend,de,en
früher,earlier / in the past,Goethe A1,goethe-a1;source-patsytau,de,en
frühstücken,to have breakfast,Goethe A1,goethe-a1;source-patsytau,de,en
das Frühstück,breakfast,Goethe A1,goethe-a1;source-patsytau;informal,de,en
die Führung,tour,Goethe A1,goethe-a1;source-patsytau,de,en
für,for,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"der Fuß, -ü, e",foot,Goethe A1,goethe-a1;source-patsytau,de,en
der Fußball,football,Goethe A1,goethe-a1;source-patsytau,de,en
der Garten,garden,Goethe A1,goethe-a1;source-patsytau,de,en
"der Gast, -ä, e",guest,Goethe A1,goethe-a1;source-patsytau,de,en
geben,to give,Goethe A1,goethe-a1;source-patsytau;informal,de,en
es gibt,there is/are,Goethe A1,goethe-a1;source-patsytau,de,en
geboren,born,Goethe A1,goethe-a1;source-patsytau,de,en
das Geburtsjahr,birth year,Goethe A1,goethe-a1;source-patsytau,de,en
der Geburtsort,birthplace,Goethe A1,goethe-a1;source-patsytau;formal,de,en
der Geburtstag,birthday,Goethe A1,"goethe-a1;source-patsytau;or simply ""Happy birthday!""",de,en
gefallen,to like,Goethe A1,goethe-a1;source-patsytau,de,en
gegen,into,Goethe A1,goethe-a1;source-patsytau,de,en
gegen,against,Goethe A1,goethe-a1;source-patsytau,de,en
gehen,to work/function,Goethe A1,goethe-a1;source-patsytau,de,en
gehen,to go,Goethe A1,goethe-a1;source-patsytau,de,en
gehen,to be okay,Goethe A1,goethe-a1;source-patsytau,de,en
gehören,to belong,Goethe A1,goethe-a1;source-patsytau,de,en
das Geld,money,Goethe A1,goethe-a1;source-patsytau;informal,de,en
das Gemüse,vegetables,Goethe A1,goethe-a1;source-patsytau,de,en
das Gepäck,luggage,Goethe A1,goethe-a1;source-patsytau;formal,de,en
gerade,now,Goethe A1,goethe-a1;source-patsytau,de,en
geradeaus,straight on,Goethe A1,goethe-a1;source-patsytau;formal,de,en
gern(e),…,Goethe A1,goethe-a1;source-patsytau;etwas gern tun = to like doing something,de,en
"das Geschäft, -e",shop,Goethe A1,goethe-a1;source-patsytau,de,en
"das Geschenk, -e",present,Goethe A1,goethe-a1;source-patsytau,de,en
die Geschwister (pl.),siblings,Goethe A1,goethe-a1;source-patsytau,de,en
"das Gespräch, -e",conversation/talk/call,Goethe A1,goethe-a1;source-patsytau,de,en
gestern,yesterday,Goethe A1,goethe-a1;source-patsytau,de,en
gestorben,died,Goethe A1,goethe-a1;source-patsytau,de,en
"das Getränk, -e",drink,Goethe A1,goethe-a1;source-patsytau,de,en
das Gewicht,weight,Goethe A1,goethe-a1;source-patsytau;informal,de,en
gewinnen,to win,Goethe A1,goethe-a1;source-patsytau,de,en
"das Glas, -ä, er",glass,Goethe A1,goethe-a1;source-patsytau,de,en
"das Glas, -ä, er",glasses,Goethe A1,goethe-a1;source-patsytau,de,en
glauben,to believe,Goethe A1,goethe-a1;source-patsytau;formal,de,en
glauben,to think,Goethe A1,goethe-a1;source-patsytau,de,en
gleich,same,Goethe A1,goethe-a1;source-patsytau,de,en
gleich,now,Goethe A1,goethe-a1;source-patsytau,de,en
"das Gleis, -e",platform,Goethe A1,goethe-a1;source-patsytau,de,en
das Glück,luck,Goethe A1,goethe-a1;source-patsytau,de,en
glücklich,happily,Goethe A1,goethe-a1;source-patsytau,de,en
der Glückwunsch,congratulations,Goethe A1,goethe-a1;source-patsytau,de,en
Grad (Celsius),degrees,Goethe A1,goethe-a1;source-patsytau,de,en
gratulieren,to congratulate,Goethe A1,goethe-a1;source-patsytau;informal,de,en
grillen,to (have a) barbecue,Goethe A1,goethe-a1;source-patsytau,de,en
groß,tall,Goethe A1,goethe-a1;source-patsytau,de,en
groß,large,Goethe A1,goethe-a1;source-patsytau,de,en
die Größe,size,Goethe A1,goethe-a1;source-patsytau;formal,de,en
die Großeltern (pl.),grandparents,Goethe A1,goethe-a1;source-patsytau,de,en
die Großmutter,grandmother,Goethe A1,goethe-a1;source-patsytau,de,en
der Großvater,grandfather,Goethe A1,goethe-a1;source-patsytau,de,en
"die Gruppe, -n",group,Goethe A1,goethe-a1;source-patsytau,de,en
"der Gruß, -ü, e",regards,Goethe A1,goethe-a1;source-patsytau,de,en
gültig,valid,Goethe A1,goethe-a1;source-patsytau,de,en
günstig,cheap,Goethe A1,goethe-a1;source-patsytau,de,en
gut,good,Goethe A1,goethe-a1;source-patsytau,de,en
gut,…,Goethe A1,goethe-a1;source-patsytau,de,en
"das Haar, -e",hair,Goethe A1,goethe-a1;source-patsytau,de,en
haben,to have,Goethe A1,goethe-a1;source-patsytau,de,en
"das Hähnchen, -",chicken,Goethe A1,goethe-a1;source-patsytau,de,en
die Halbpension,half-board (dining),Goethe A1,goethe-a1;source-patsytau;formal,de,en
die Halle,hall,Goethe A1,goethe-a1;source-patsytau,de,en
hallo,hello,Goethe A1,goethe-a1;source-patsytau,de,en
halten,to stop,Goethe A1,goethe-a1;source-patsytau,de,en
"die Haltestelle, -en,",(public transport) stop,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"die Hand, -ä, e",hand,Goethe A1,goethe-a1;source-patsytau,de,en
"das Handy, -s",mobile telephone,Goethe A1,goethe-a1;source-patsytau,de,en
"das Haus, -ä, er",house / building,Goethe A1,goethe-a1;source-patsytau;informal,de,en
"das Haus, -ä, er",home,Goethe A1,goethe-a1;source-patsytau,de,en
"die Hausaufgabe,-n",homework,Goethe A1,goethe-a1;source-patsytau;informal,de,en
"die Hausfrau, -en",housewife,Goethe A1,goethe-a1;source-patsytau,de,en
der Hausmann,househusband,Goethe A1,goethe-a1;source-patsytau,de,en
die Heimat,home,Goethe A1,goethe-a1;source-patsytau,de,en
heiraten,to marry,Goethe A1,goethe-a1;source-patsytau,de,en
heißen,to be called,Goethe A1,goethe-a1;source-patsytau,de,en
helfen,to help,Goethe A1,goethe-a1;source-patsytau;formal,de,en
hell,light,Goethe A1,goethe-a1;source-patsytau,de,en
der Herd,stove,Goethe A1,goethe-a1;source-patsytau,de,en
"der Herr, -en",Mister,Goethe A1,goethe-a1;source-patsytau,de,en
herzlich,…,Goethe A1,goethe-a1;source-patsytau,de,en
heute,today,Goethe A1,goethe-a1;source-patsytau,de,en
hier,here,Goethe A1,goethe-a1;source-patsytau,de,en
die Hilfe,help,Goethe A1,goethe-a1;source-patsytau;formal,de,en
hinten,at/in the back,Goethe A1,goethe-a1;source-patsytau,de,en
"das Hobby, -s",hobby,Goethe A1,goethe-a1;source-patsytau,de,en
hoch,high,Goethe A1,goethe-a1;source-patsytau,de,en
die Hochzeit,marriage,Goethe A1,goethe-a1;source-patsytau,de,en
holen,to fetch,Goethe A1,goethe-a1;source-patsytau,de,en
hören,to listen,Goethe A1,goethe-a1;source-patsytau,de,en
hören,to hear,Goethe A1,goethe-a1;source-patsytau,de,en
"das Hotel, -s",hotel,Goethe A1,goethe-a1;source-patsytau,de,en
"der Hund, -e",dog,Goethe A1,goethe-a1;source-patsytau,de,en
der Hunger,hunger,Goethe A1,goethe-a1;source-patsytau,de,en
ich,I,Goethe A1,goethe-a1;source-patsytau,de,en
ihm/ihr,him/her,Goethe A1,goethe-a1;source-patsytau,de,en
ihn,him,Goethe A1,goethe-a1;source-patsytau,de,en
immer,always,Goethe A1,goethe-a1;source-patsytau,de,en
in,in,Goethe A1,goethe-a1;source-patsytau,de,en
in,to,Goethe A1,goethe-a1;source-patsytau,de,en
"die Information, -en",information point,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"die Information, -en",information,Goethe A1,goethe-a1;source-patsytau;formal,de,en
international,international,Goethe A1,goethe-a1;source-patsytau,de,en
das Internet,internet,Goethe A1,goethe-a1;source-patsytau;informal,de,en
ja,yes,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"die Jacke, -n",jacket,Goethe A1,goethe-a1;source-patsytau;informal,de,en
jed-,every,Goethe A1,goethe-a1;source-patsytau;informal,de,en
jetzt,now,Goethe A1,goethe-a1;source-patsytau,de,en
"der Job, -s",job,Goethe A1,goethe-a1;source-patsytau,de,en
"der Jugendliche, -n",youth/young person,Goethe A1,goethe-a1;source-patsytau,de,en
jung,young,Goethe A1,goethe-a1;source-patsytau,de,en
"der Junge, -n",boy,Goethe A1,goethe-a1;source-patsytau,de,en
der Kaffee,coffee,Goethe A1,goethe-a1;source-patsytau,de,en
kaputt,…,Goethe A1,goethe-a1;source-patsytau;kaputt gehen = to break,de,en
